warehouse_order_line_ID,warehouse_order_date,purchase_order_date,purchase_order_no,vendor,is_hazmat,selling_marketplace,selling_marketplace_client_SKU,selling_marketplace_product_title,selling_marketplace_ASIN,selling_marketplace_photo_link,selling_marketplace_bundle_count,purchase_bundle_count,purchase_order_quantity,purchase_order_quantity_single_units,total_sellable_units,total_warehouse_order_cost,sellable_unit_cost,notes_to_warehouse,,warehouse_order_receiving_status,received_single_units_quantity,received_single_units_damaged_quantity,awaiting_single_units,received_sellable_units_quantity,first_received_date,last_received_date,warehouse_notes,FORMULA_HELPER
258_0000001,,11/28/2024,NMUS1011,neilmed,,CA,B004158IWM,NeilMed Nasadock Plus Stand,,https://amazon.com/dp/B004158IWM,1,1,10,10,10,$49.82,$4.98,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000002,,11/28/2024,NMUS1011,neilmed,,CA,B004H1RA6U,Sinus Rinse Adult Bottle Kit 8 Oz,,https://amazon.com/dp/B004H1RA6U,1,1,10,10,10,$60.00,$6.00,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000003,,11/28/2024,114-5371831-4548210,(amazon) JACO Superior Products,,CA,B07RJ2R6BN,JACO Elite Digital Tire Pressure Gauge - Professional Accuracy - 100 PSI,,https://amazon.com/dp/B07RJ2R6BN,1,1,25,25,25,$593.00,$23.72,,,awaiting,0,0,25,0,,12/30/1899,,
258_0000004,,11/28/2024,114-4374511-8256222,(amazon) RushSlowly,,CA,B07XJRW6PS,RushSlowly Ice Skating Spinning Turnboard Trainer Device for Practicing (Beach),,https://amazon.com/dp/B07XJRW6PS,1,1,10,10,10,$165.90,$16.59,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000005,,11/28/2024,114-0674790-7018634,(amazon) De Pets,,CA,B0CB5HNGLP,"Glass Glue, 30g Clear Waterproof Acrylic Glue, Glass to Glass Glue for Bonding Glass and Other Materials, Super Instant Glue for Glass, Acrylic, Mirror (Glass Glue, 1)",,https://amazon.com/dp/B0CB5HNGLP,1,1,10,10,10,$89.90,$8.99,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000006,,11/28/2024,114-3441088-2310639,(amazon) Amazon.com,,CA,B0CKS24NTJ,Vitamix Immersion Blending Jar,,https://amazon.com/dp/B0CKS24NTJ,1,1,10,10,10,$159.60,$15.96,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000007,,11/28/2024,114-9756118-0025834,(amazon) Premium Automotive,,CA,B06ZYGJ4W8,"Chemical Guys GAP11516 Headlight Restore and Protect, (Great for Cars, Trucks, SUVs, RVs, Motorcycles, & More) 16 fl oz",,https://amazon.com/dp/B06ZYGJ4W8,1,1,15,15,15,$239.85,$15.99,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000008,,11/28/2024,114-3785741-8015436,(amazon) Amazon,,CA,B07PFYT8MC,"Reynolds Kitchens Unbleached Parchment Paper Roll, 45 Square Feet",,https://amazon.com/dp/B07PFYT8MC,1,1,50,50,50,$152.00,$3.04,,,complete,50,0,0,50,,12/24/2024,,
258_0000009,,11/28/2024,114-3169452-6672229,(amazon) Amazon,,CA,B010XIHC54,INFINITIPRO BY CONAIR Hot Air Styling Brush Set with 2-Inch and 1.5-Inch Bristles,,https://amazon.com/dp/B010XIHC54,1,1,15,15,15,$743.85,$49.59,,,partial,1,0,14,1,,12/24/2024,,
258_0000010,,11/28/2024,114-4672044-1895431,(amazon) Thomas Scientific,,CA,B008BMCLNI,"Micro Esential QT-40 Quat Dispenser, 0-500 PPM 10 Roll Box",,https://amazon.com/dp/B00N50VQVE,1,10,4,40,40,$203.63,$5.09,,,partial,20,0,20,20,,12/24/2024,NO SLIP,
258_0000011,,11/28/2024,114-8878280-2681865,(amazon) Health Chest,,CA,B0009EXMTI,Planetary Herbals Horse Chestnut Cream - Tonifier for Tissues and Vein Appearance - 2 oz,,https://amazon.com/dp/B0009EXMTI,1,1,12,12,12,$83.06,$6.92,,,awaiting,0,0,12,0,,12/30/1899,,
258_0000012,,11/28/2024,114-6411360-9156213,(amazon) Amazon,,CA,0345538374,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,,https://amazon.com/dp/345538374,1,1,15,15,15,$203.85,$13.59,,,complete,15,0,0,15,,12/26/2024,,
258_0000013,,11/28/2024,114-2614019-0517009,(amazon) LG Household & Health Care,,CA,B0BLSJ99KL,Dr. Groot Genethick7 Hair Care Scaling Shampoo (9.5fl oz) - pH-Balancing Shampoo by LG Household. All Men and Women Hair Types.,,https://amazon.com/dp/B0BLSJ99KL,1,1,10,10,10,$241.50,$24.15,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000014,,11/28/2024,114-1031131-1361012,(amazon) Muelnmey,,CA,B0BMDVJDV7,"Muelnmey 1PCS Extension Cord Ends Electrical Replacement Connector NEMA 5-15R 15A 125V Yellow Shell 2 Pole 3 Wire Grounding Female Straight blade electric plug replacement power cord socket,UL Listed.",,https://amazon.com/dp/B0BMDVJDV7,1,1,15,15,15,$89.70,$5.98,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000015,,11/28/2024,114-5314657-9334635,(amazon) Amazon,,CA,B09KYJ4VNL,"Itzy Ritzy Natural Rubber Pacifiers, Set of 2 - Natural Rubber Newborn Pacifiers with Cherry-Shaped Nipple & Large Air Holes for Added Safety; Set of 2 in Harbor & Coast, Ages 0 - 6 Months",,https://amazon.com/dp/B09KYJ4VNL,1,1,25,25,25,$133.00,$5.32,,,awaiting,0,0,25,0,,12/30/1899,,
258_0000016,,11/28/2024,114-7807778-9661047,(amazon) Katy Med Solutions,,CA,B0006ULNPU,CURITY Plain Packing Strip - 1/4 x 5 Yds - Plain - Bottle - Each,,https://amazon.com/dp/B0006ULNPU,1,1,15,15,15,$50.25,$3.35,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000017,,11/28/2024,114-1618479-8656249,(amazon) Amazon.com,,CA,B07Z4DM3XV,"Itzy Ritzy Silicone Teether with Rattle; Rattle Teether Features Rattle Sound, Two Silicone Teething Rings and Raised Texture to Soothe Gums; Ages 3 Months and Up (Pink Rainbow)",,https://amazon.com/dp/B07Z4DM3XV,1,1,10,10,10,$59.90,$5.99,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000018,,11/28/2024,114-3720942-4205863,(amazon) Amazon.com,,CA,B07Z4DM3XV,"Itzy Ritzy Silicone Teether with Rattle; Rattle Teether Features Rattle Sound, Two Silicone Teething Rings and Raised Texture to Soothe Gums; Ages 3 Months and Up (Pink Rainbow)",,https://amazon.com/dp/B07Z4DM3XV,1,1,20,20,20,$119.80,$5.99,,,awaiting,0,0,20,0,,12/30/1899,,
258_0000019,,11/28/2024,114-9647293-3606608,(amazon) Amazon,,CA,B0D3HVCTBC,"e.l.f. Sun Boss Gloss SPF 25, Pigmented Lip Gloss For A High-Shine Finish, Moisturizing & Conditioning Formula, Vegan & Cruelty-Free, Pink-Me Girl",,https://amazon.com/dp/B0D3HVCTBC,1,1,15,15,15,$87.45,$5.83,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000020,,11/28/2024,114-2273673-3995405,(amazon) Maxton & Company,,CA,B08GQGLC99,"Defense Soap Body Wipes, 30 Individually Packed Travel Wipes - 100% Natural and Pure Pharmaceutical Grade Tea Tree Oil and Eucalyptus Oil",,https://amazon.com/dp/B08GQGLC99,1,1,15,15,15,$356.25,$23.75,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000021,,11/28/2024,114-5678345-3237049,(amazon) Amazon.com,,CA,B094F2GH4F,Black Radiance Metalicious Metallic Lipstick Lip Sculptor Gold Star,,https://amazon.com/dp/B094F2GH4F,1,1,15,15,15,$45.00,$3.00,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000022,,11/28/2024,114-7821844-2871441,(amazon) Amazon.com,,CA,B0B8TMSXXB,Philips LED Vintage Spiral ST19 Dimmable LED Light Bulbs - E26 Bulb - Flicker-Free Light Bulb with EyeComfort Technology - Amber 2000K Lightbulb - 300 Lumen - 4 Pack,,https://amazon.com/dp/B0B8TMSXXB,1,1,10,10,10,$104.90,$10.49,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000023,,11/28/2024,114-1445755-0576219,(amazon) Amazon,,CA,B07MFNYCM8,"Honest Beauty Magic Gel-to-Milk Makeup Melting Pre-Cleanser | Pink Caolin Clay + Rose Water | EWG Verified, Dermatologist Tested, Cruelty Free | 4 fl oz",,https://amazon.com/dp/B07MFNYCM8,1,1,15,15,15,$119.70,$7.98,,,complete,15,0,0,15,,12/24/2024,,
258_0000024,,11/28/2024,114-4467601-7681049,(amazon) ORGANIC SPREE,,CA,B0CW17RPTV,"Organic Spree Kashmiri Saffron Kesar 1gm (0.035oz) Threads Pure and Natural l From the finest farmlands of Pampore, J&K l Certified Grade A++ Mongra Saffron",,https://amazon.com/dp/B0CW17RPTV,1,1,15,15,15,$179.87,$11.99,5 units refunded,,partial,10,0,5,10,,12/24/2024,,
258_0000025,,11/28/2024,114-6817756-3077057,(amazon) Broyé Cafe,,CA,B0CMHL1S89,"Broyé Vietnamese Pour Over Coffee Packets, Portable Drip Bag Coffee, Drip Coffee, Vietnamese Instant Coffee Packets, Convenient single pour over coffee for Travel and Camping (4.76 Oz-9 Packets/Box)",,https://amazon.com/dp/B0CMHL1S89,1,1,15,15,15,$99.35,$6.62,,,complete,14,1,0,14,,12/24/2024,,
258_0000026,,11/28/2024,114-5748266-3917853,(amazon) RCMA Makeup,,CA,B01ETVTASI,RCMA | Translucent Loose Powder | Flawless Finish | Professional Makeup | Setting Powder | All Skin Types | 3oz Bottle,,https://amazon.com/dp/B01ETVTASI,1,1,6,6,6,$64.12,$10.69,,,awaiting,0,0,6,0,,12/30/1899,,
258_0000027,,11/28/2024,114-4237542-9253810,(amazon) RCMA Makeup,,CA,B01E1WYSN2,RCMA No Color Powder | Setting Powder | Professional Makeup | Universal | All skin types | 3oz,,https://amazon.com/dp/B01E1WYSN2,1,1,6,6,6,$64.12,$10.69,,,awaiting,0,0,6,0,,12/30/1899,,
258_0000028,,11/28/2024,114-3569424-8576262,(amazon) Cawla,,CA,B0CM3NCM19,Switch Button 411478-6 Fits for MAKITA Mitre Saw LS1214 LS1013 LS1040 LS1212 2414B BLS712 BLS820 (2 Pcs),,https://amazon.com/dp/B0CM3NCM19,1,1,15,15,15,$101.32,$6.75,,,complete,15,0,0,15,,12/24/2024,,
258_0000029,,11/28/2024,114-8067502-9126602,(amazon) Amazon,,CA,B07Z6DVPWK,"Weber Garlic Parmesan Seasoning, 4.3 Ounce Shaker (Pack of 6)",,https://amazon.com/dp/B08Z66SN6F,1,6,2,12,12,$39.42,$3.29,,,awaiting,0,0,12,0,,12/30/1899,,
258_0000030,,11/28/2024,114-9966135-0886622,(amazon) Amazon.com,,CA,B005G9E9AW,"NYX PROFESSIONAL MAKEUP Mechanical Eye Pencil,Vivid Rich Mechanical, Creamy Retractable Eyeliner - Always Onyx, Black Eyeliner",,https://amazon.com/dp/B005G9E9AW,1,1,15,15,15,$85.20,$5.68,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000031,,11/28/2024,114-4826783-1096237,(amazon) Amazon.com,,CA,B00DG8F04Y,"NIVEA Essentially Enriched Body Lotion for Dry Skin, Pack of 2, 16.9 Fl Oz Pump Bottles",,https://amazon.com/dp/B076G2XGY3,1,2,15,30,30,$164.70,$5.49,return label alındı,,partial,6,9,15,6,,12/1/2024,returned 9 dmg; 15 single units preped in 11258.24-12-05.2761,
258_0000032,,11/28/2024,114-6659821-7666631,(amazon) Death Wish Coffee Co.,,CA,21.78__24.67__37.26__49.99,"Death Wish Coffee Co., Organic and Fair Trade Dark Roast Ground Coffee, 16 oz",,https://amazon.com/dp/B006CQ1ZHI,1,1,20,20,20,$263.60,$13.18,,,awaiting,0,0,20,0,,12/30/1899,,
258_0000033,,11/28/2024,114-8036644-9189809,(amazon) FrenchPlug,,CA,B087CVCWR2,"Volkswagen 000087010BQ Key Ring with VW Logo, Black, Diameter 37 mm, Black, Durchmesser 37 mm, Classic",,https://amazon.com/dp/B087CVCWR2,1,1,8,8,8,$103.92,$12.99,,,complete,8,0,0,8,,12/24/2024,,
258_0000034,,11/28/2024,114-4768137-3732204,(amazon) Amazon,,CA,B004T6G9VA,"Cafe La Llave Dark Roast Ground Espresso Coffee, 16 oz Brick - Rich and Bold Cuban-Style Blend for Moka Pot, Espresso Machine, or Drip Coffee Maker - Strong, Aromatic Flavor",,https://amazon.com/dp/B004T6G9VA,1,1,15,15,15,$79.65,$5.31,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000035,,11/28/2024,114-0103050-0240215,(amazon) Amazon,,CA,B07S89SL7D,"Johnson's Kids Curl Defining Leave-In Conditioner + Shea Butter, Tear-Free, Paraben-, Sulfate- & Dye-Free, Hypoallergenic & Gentle for Toddlers' Haircare, Bath Essentials, 6.8 fl. oz",,https://amazon.com/dp/B07S89SL7D,1,1,25,25,25,$97.25,$3.89,,,awaiting,0,0,25,0,,12/30/1899,,
258_0000036,,11/28/2024,114-7793881-7152256,(amazon) CPAP Parts,,CA,B07ND4V41D,ResMed AirFit F30 Cushion - Full-Face CPAP Mask Cushion Replacement - CPAP Accessory - Minimal Contact Design - Medium,,https://amazon.com/dp/B07ND4V41D,1,1,7,7,7,$319.83,$45.69,,,awaiting,0,0,7,0,,12/30/1899,,
258_0000037,,11/28/2024,114-5467279-5895450,(amazon) Laura Geller New York,,CA,B0CFBZ9TCS,"LAURA GELLER NEW YORK The Best of the Best Baked Palette - Tuscan Dreams - Full Size - Includes Bronzer, Blush, Highlighter and 6 Eyeshadows - Travel-Friendly",,https://amazon.com/dp/B0CFBZ9TCS,1,1,15,15,15,$472.35,$31.49,,,complete,15,0,0,15,,12/24/2024,,
258_0000038,,11/28/2024,114-7144584-6301002,(amazon) Winky Lux,,CA,B07ND3HQY9,"Winky Lux Uni Brow Eyebrow Pencil, Dual Sided with Spoolie, Longwearing Waterproof Eyebrow Crayon, Define Shape and Fill Brows, Brown, Blonde and Taupe Universal Shade",,https://amazon.com/dp/B07ND3HQY9,1,1,15,15,15,$188.85,$12.59,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000039,,11/28/2024,114-7395335-3062600,(amazon) Winky Lux,,CA,B07ND3HQY9,"Winky Lux Uni Brow Eyebrow Pencil, Dual Sided with Spoolie, Longwearing Waterproof Eyebrow Crayon, Define Shape and Fill Brows, Brown, Blonde and Taupe Universal Shade",,https://amazon.com/dp/B07ND3HQY9,1,1,30,30,30,$377.70,$12.59,,,awaiting,0,0,30,0,,12/30/1899,,
258_0000040,,11/28/2024,114-7591191-0429829,(amazon) Amazon.com,,CA,B01A0Y1MNE,"ECOGARD XC10434 Premium Cabin Air Filter Fits Nissan Rogue 2014-2020, Rogue Sport 2017-2019",,https://amazon.com/dp/B01A0Y1MNE,1,1,15,15,15,$112.65,$7.51,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000041,,11/28/2024,114-2642083-5964238,(amazon) Captain O-Ring LLC,,CA,B00JFF5Q96,"Paintball Marker Oil Lube (1oz, 30cc) by Captain O-Ring - Dropper Oil Lubricant for Paintball Markers and Air Guns",,https://amazon.com/dp/B00JFF5Q96,1,1,15,15,15,$128.10,$8.54,,,complete,15,0,0,15,,12/24/2024,,
258_0000042,,11/28/2024,114-1544901-4516255,(amazon) MOTAIN-US,,CA,B09V34SSF6,"MOTAIN Rideshare Sign/Parking Permit Clear Sun Protection Holder - 2 Pack PVC Removable Pocket Holder - Includes 8 Strong Suction Cups..., 2236",,https://amazon.com/dp/B09V34SSF6,1,1,7,7,7,$48.93,$6.99,,,complete,7,0,0,7,,12/2/2024,,
258_0000043,,11/28/2024,114-1237883-1072266,(amazon) Amazon,,CA,B09BW3CP9V,"Barbie Doll & Pets, Blonde Doll with Mommy Dog, 3 Newborn Puppies with Color-Change Feature & Pet Accessories",,https://amazon.com/dp/B09BW3CP9V,1,1,20,20,20,$200.00,$10.00,,,awaiting,0,0,20,0,,12/30/1899,,
258_0000044,,11/28/2024,114-0121380-0583460,(amazon) Amazon.com,,CA,B07KLGSQ5Q,"Frida Baby Natural Vapor Bath Bombs for Toddlers & Kids, Eucalyptus Essential Oil Bath Bombs for Aromatherapy, 3 Count",,https://amazon.com/dp/B07KLGSQ5Q,1,1,20,20,20,$139.80,$6.99,,,awaiting,0,0,20,0,,12/30/1899,,
258_0000045,,11/28/2024,114-2447266-1469010,(amazon) Laura Geller New York,,CA,B0BBH8FRYL,"LAURA GELLER NEW YORK The Best of the Best Baked Palette - Full Size - Includes Bronzer, Blush, 2 Highlighters and 3 Eyeshadows - Travel-Friendly",,https://amazon.com/dp/B0BBH8FRYL,1,1,15,15,15,$553.50,$36.90,,,awaiting,0,0,15,0,,12/30/1899,,
258_0000046,,11/28/2024,114-1139452-0210616,(amazon) The Hate Stains Co.,,CA,B01LXAAIC2,"Emergency Stain Rescue Remover Spray - 4oz Laundry Stain Remover for Clothes, Upholstery Fabric, Carpet - Works on Most Blood, Grass, Coffee, Mud, Grease & Oil Stain Remover",,https://amazon.com/dp/B07QNZLPJ2,1,3,10,30,30,$159.90,$5.33,,,awaiting,0,0,30,0,,12/30/1899,,
258_0000047,,11/28/2024,114-4983772-9001835,(amazon) MLH Holdings,,CA,B0BZB7LCSM,"Sleepette Night Guard for Women, TMJ Mouth Guard for Grinding Teeth at Night Jaw Clenching & Bruxism - Moldable Dental Night Guard for Teeth Grinding Mouth Guard for Sleep, 4 x Nightguard 2 x Sizes",,https://amazon.com/dp/B0BZB7LCSM,1,1,3,3,3,$50.85,$16.95,,,complete,3,0,0,3,,1/20/2025,NO SLIP,
258_0000048,,11/28/2024,114-9617843-5309831,(amazon) MLH Holdings,,CA,B0BZB7LCSM,"Sleepette Night Guard for Women, TMJ Mouth Guard for Grinding Teeth at Night Jaw Clenching & Bruxism - Moldable Dental Night Guard for Teeth Grinding Mouth Guard for Sleep, 4 x Nightguard 2 x Sizes",,https://amazon.com/dp/B0BZB7LCSM,1,1,3,3,3,$50.85,$16.95,,,awaiting,0,0,3,0,,12/30/1899,,
258_0000049,,11/28/2024,114-3856528-8540233,(amazon) Amazon.com,,CA,B013HK8RPE,"REVLON Silicone Bristle Heated Hair Styling Brush | Fast, Long Lasting Volume for Easy Styling | 1"" Barrel for Full Body and Smooth Styles (Black/Pink)",,https://amazon.com/dp/B013HK8RPE,1,1,30,30,30,$479.70,$15.99,,,awaiting,0,0,30,0,,12/30/1899,,
258_0000050,,11/28/2024,114-7005573-4007418,(amazon) Amazon.com,,CA,B00172BJ1O,"Mario Badescu Super Rich Olive Body Lotion for Dry Skin, Non-Greasy and Creamy Skin Care Moisturizer Infused with Olive Oil, Ideal for All Skin Types, 16 Fl Oz",,https://amazon.com/dp/B00172BJ1O,1,1,10,10,10,$132.00,$13.20,,,awaiting,0,0,10,0,,12/30/1899,,
258_0000051,,11/28/2024,114-4616947-2417841,(amazon) Amazon.com,,CA,B0015ZC1G0,"Mario Badescu Super Rich Olive Body Lotion for Dry Skin, Non-Greasy and Creamy Skin Care Moisturizer Infused with Olive Oil, Ideal for All Skin Types, 6 Fl Oz",,https://amazon.com/dp/B0015ZC1G0,1,1,20,20,20,$120.00,$6.00,,,awaiting,0,0,20,0,,12/30/1899,,
