warehouse_order_line_ID,warehouse_order_date,purchase_order_date,purchase_order_no,vendor,is_hazmat,selling_marketplace,selling_marketplace_client_SKU,selling_marketplace_product_title,selling_marketplace_ASIN,selling_marketplace_photo_link,selling_marketplace_bundle_count,purchase_bundle_count,purchase_order_quantity,purchase_order_quantity_single_units,total_sellable_units,total_warehouse_order_cost,sellable_unit_cost,notes_to_warehouse,,warehouse_order_receiving_status,received_single_units_quantity,received_single_units_damaged_quantity,awaiting_single_units,received_sellable_units_quantity,first_received_date,last_received_date,warehouse_notes,,PB_log,PB_unique,sell_bundle,FULL_sku,FULL_sell_bundle,FORMULA_HELPER
412_0000001,,5/31/2025,113-2703520-9846601,amazon,no,UK FBA,uk-B07QQ3M74T,"Miss Mouth's Messy Eater Stain Treater Spray - 118ml 3 Pack Stain Remover - Newborn & Baby Essentials - No Dry Cleaning Food, Grease, Coffee Off Laundry, Underwear, Fabric",B07QQ3M74T,link,3,3,50,150,50,$860.00,$17.20,,,partial,147,0,3,49,,6/4/2025,,,30608,30608,#N/A,uk-B07QQ3M74T,3,
412_0000002,,5/31/2025,113-2015649-8332239,amazon,no,UK FBA,uk-B0C5G4TBXC,"Theraworx Relief for Muscle Cramps Roll-On Fast-Acting Muscle Spasm, Leg Soreness with Magnesium Sulfate - 2.5 oz - 1 Count",B0C5G4TBXC,link,1,2,10,20,20,$212.75,$10.64,,,complete,20,0,0,20,,6/4/2025,,,30052,30052,#N/A,uk-B0C5G4TBXC,1,
412_0000003,,5/31/2025,113-8599422-1301057,amazon,no,UK FBA,uk-B01EIG6A4Q,"Miss Mouth's Messy Eater Stain Treater Spray - 118 ml Stain Remover - Newborn & Baby Essentials - No Dry Cleaning Food, Grease, Coffee Off Laundry, Underwear, Fabric",B01EIG6A4Q,link,1,3,50,150,150,$860.00,$5.73,,,complete,150,0,0,150,,6/4/2025,,,30052,30618,#N/A,uk-B01EIG6A4Q,1,
412_0000004,,5/31/2025,113-8553001-5238657,amazon,no,UK FBA,uk-B0862Q6BV9,"Blue Lizard SENSITIVE Mineral Sunscreen with Zinc Oxide, SPF 50+, Water Resistant, UVA/UVB Protection with Smart Cap Technology - Fragrance Free, 3 oz. Tube",B0862Q6BV9,link,1,1,150,150,150,"$1,050.60",$7.00,,,complete,150,0,0,150,,6/5/2025,,,30618,30080,#N/A,uk-B0862Q6BV9,1,
412_0000005,,5/31/2025,113-9622221-4236234,amazon,no,UK FBA,uk-B000H185N6,"NoSalt Sodium-Free Salt Alternative, 11 Oz",B000H185N6,link,1,12,2,24,24,$104.29,$4.35,zarar yazıldı,,complete,19,5,0,19,,6/4/2025,,,30080,30670,#N/A,uk-B000H185N6,1,
412_0000006,,5/31/2025,113-4241685-8227450,amazon,no,UK FBA,uk-B000FP8EUS,"Loctite Threadlocker Red 271,0.20 fl. oz(209741)",B000FP8EUS,link,1,12,4,48,48,$208.76,$4.35,,,complete,48,0,0,48,,6/17/2025,,,30670,30737,#N/A,uk-B000FP8EUS,1,
412_0000007,,5/31/2025,113-1586234-5131432,amazon,no,UK FBA,uk-B000I1RSNS,"Loctite 209728 Heavy Duty Threadlocker, 0.2 oz, Blue 242, Single Thread Locking Adhesive, 0.2 Fl. Oz (Pack of 1), 2",B000I1RSNS,link,1,12,8,96,96,$362.88,$3.78,,,complete,96,0,0,96,,6/4/2025,,,30618,30011,#N/A,uk-B000I1RSNS,1,
412_0000008,,5/31/2025,113-4021110-4945049,amazon,no,UK FBA,uk-B0002JMLQU,"Lubegard 19610 Instant Shudder Fixx, 2 oz.",B0002JMLQU,link,1,12,2,24,24,$136.96,$5.71,,,complete,24,0,0,24,,6/5/2025,,,30618,30625,#N/A,uk-B0002JMLQU,1,
412_0000009,,5/31/2025,113-3041136-7559421,amazon,no,UK FBA,uk-B012RGU4EQ,Tomcat Mole Killer(a) - Worm Bait - Includes 10 Worms per Box - Mimics a Mole's Natural Food Source - Ready-to-Use Mole Killer - Effective Against Most Common Mole Species,B012RGU4EQ,link,1,4,10,40,40,$651.20,$16.28,,,complete,40,0,0,40,,6/5/2025,,,30618,30801,#N/A,uk-B012RGU4EQ,1,
412_0000010,,5/31/2025,113-8153888-7321826,amazon,no,UK FBA,uk-B000NUTUCG,OCUSOFT LID SCRUB FOAM Size: 50 ML,B000NUTUCG,link,1,1,10,10,10,$85.68,$8.57,,,complete,10,0,0,10,,6/5/2025,,,30608,30124,#N/A,uk-B000NUTUCG,1,
412_0000011,,5/31/2025,113-4192293-4369867,amazon,no,UK FBA,uk-B0DS1VBFGX,"Adhesive Replacement Tape for Ring Alarm Contact Sensors & Magnets (2nd Gen) – Durable Double-Sided Pads for Easy Installation – Pack of 12 Sensor Pads & 12 Magnet Pads, Pre-Cut, No Cutting Needed",B0DS1VBFGX,link,12,12,10,120,10,$84.20,$8.42,,,complete,120,0,0,10,,6/5/2025,,,30737,30458,#N/A,uk-B0DS1VBFGX,12,
412_0000012,,5/31/2025,113-7478513-3450635,amazon,no,UK FBA,uk-B0BR4S8FLT,"Topicals High Roller Ingrown Hair Tonic with Salicylic Acid, AHAs and BHAs - Daily Treatment for Razor Bumps, Irritation and Ingrown Hairs - Suitable for Face & Body (1.7 Fl Oz)",B0BR4S8FLT,link,1,1,10,10,10,$221.00,$22.10,,,complete,10,0,0,10,,6/5/2025,,,30618,30804,#N/A,uk-B0BR4S8FLT,1,
412_0000013,,5/31/2025,113-1771794-4531444,amazon,no,UK FBA,uk-B01A74442I,"Certified Organic Moisturizing Jojoba Oil 120ml | 100% Pure Natural Cold Pressed Unrefined, Hexane Free Carrier Oil | for Hair Face & Nails | Cliganic 90 Days Warranty",B01A74442I,link,1,1,50,50,50,$444.60,$8.89,iade edildi,,awaiting,0,0,50,0,,,,,30618,30200,#N/A,uk-B01A74442I,1,
412_0000014,,5/31/2025,113-7555736-0448220,amazon,no,UK FBA,uk-B086DFCS7Y,"NutriBullet NBY-50100 Baby Complete Food-Making System, 32-Oz, Blue",B086DFCS7Y,link,1,1,7,7,7,$347.55,$49.65,,,complete,7,0,0,7,,6/4/2025,,,30618,30601,#N/A,uk-B086DFCS7Y,1,
412_0000015,,5/31/2025,113-3885192-5357837,amazon,no,UK FBA,uk-B09SZ3P6BJ,"Honey Bear Straw Cups with 4 Flexible Straws & Cleaning Tools(2 Straw Brushes &1 Bottle Brush), 8-Ounce Therapy Sippy Bottles for Speech and Feeding Training, Leak-Proof & Food-Grade & BPA Free 2 Pack",B09SZ3P6BJ,link,2,2,10,20,10,$89.90,$8.99,,,complete,20,0,0,10,,6/4/2025,,,30052,30147,#N/A,uk-B09SZ3P6BJ,2,
412_0000016,,5/31/2025,113-5154908-8845865,amazon,no,UK FBA,uk-B0BF9181FL,VagiBiom 5-Day Vflora (Lactobacillus crispatus + L. gasseri) to Balance Intimate Flora. Nourish and Nurture Good Flora for Skin Health. Ultra Potent 100% Natural Vegan (5 Suppositories),B0BF9181FL,link,1,1,15,15,15,$269.33,$17.96,,,complete,15,0,0,15,,6/5/2025,,,30011,30702,#N/A,uk-B0BF9181FL,1,
412_0000017,,5/31/2025,113-3269230-1237843,amazon,no,UK FBA,uk-B000B3AR04,Irwin Tools 2014400 Pro-Touch Coping Saw,B000B3AR04,link,1,1,15,15,15,$133.95,$8.93,,,complete,15,0,0,15,,6/4/2025,,,30011,,,uk-B000B3AR04,1,
412_0000018,,5/31/2025,113-1011822-2855419,amazon,no,UK FBA,uk-B09ZK8Y6SB,"Dr. Brown’s Milestones Wide-Neck Transitional Sippy Bottle with Silicone Handles, 9oz 6m+ Light Pink and Ecru 2-Pack",B09ZK8Y6SB,link,2,2,10,20,10,$124.40,$12.44,,,complete,20,0,0,10,,6/4/2025,,,30618,,,uk-B09ZK8Y6SB,2,
412_0000019,,5/29/2025,113-9422000-4409840,amazon,no,UK FBA,uk-B0DC17RMSQ,"Mattel Minecraft Plush Toy, Bee Soft Doll Inspired by A Minecraft Movie Character, 8-inch Collectible",B0DC17RMSQ,link,1,1,20,20,20,$219.80,$10.99,,,complete,20,0,0,20,,6/17/2025,,,30670,,,uk-B0DC17RMSQ,1,
412_0000020,,5/29/2025,113-3915996-2465862,amazon,no,UK FBA,uk-B07N8W8YQ4,"Prime-Line N 7533 Sliding Closet Door Roller Kit, 3/4 in. Wheel Diameter, Convex (Round) Edge Plastic, Stamped Steel Construction, Includes 3/8 in. and 1/2 in. Offset Pairs, Pack of 4, Zinc",B07N8W8YQ4,link,4,2,40,80,20,$66.80,$3.34,,,complete,80,0,0,20,,6/5/2025,,,30011,,,uk-B07N8W8YQ4,4,
412_0000021,,5/29/2025,113-3718510-9371401,amazon,no,UK FBA,uk-B00CH1E9L6,Scotch Corporation 1806 Instant Power Toilet Tank Cleaner by ScotchÃ‚®,B00CH1E9L6,link,1,6,2,12,12,$63.64,$5.30,zarar yazıldı,,complete,9,3,0,9,,6/5/2025,,,30737,,,uk-B00CH1E9L6,1,
412_0000022,,5/29/2025,113-8034207-0097014,amazon,no,UK FBA,uk-B084R1KZ1Z,Banana Boat Light As Air Reef Friendly Broad Spectrum Sun Protection Lotion SPF 50 6oz Twin Pack,B084R1KZ1Z,link,2,2,30,60,30,$376.11,$12.54,,,complete,60,0,0,30,,6/4/2025,,,30618,,,uk-B084R1KZ1Z,2,
412_0000023,,5/29/2025,113-3993445-2106614,amazon,no,UK FBA,uk-B01IU3LB2O,IROIRO Premium Natural Semi-Permanent Hair Color 70 Pink (4oz),B01IU3LB2O,link,1,1,15,15,15,$149.25,$9.95,,,complete,15,0,0,15,,6/4/2025,,,30625,,,uk-B01IU3LB2O,1,
412_0000024,,5/29/2025,113-6413699-3005027,amazon,no,UK FBA,uk-B0B4YNG9Z8,"SwimWays Paw Patrol Zoom-A-Rays Water Toys, Kids Pool & Diving Toys for Kids Aged 5 & Up, 2-Pack",B0B4YNG9Z8,link,2,2,10,20,10,$97.40,$9.74,,,complete,20,0,0,10,,6/4/2025,,,30801,,,uk-B0B4YNG9Z8,2,
412_0000025,,5/29/2025,113-4961962-3516221,amazon,no,UK FBA,uk-B0BXM5HX3V ,Diablo D0724A 7-1/4in 24T ATB Framing Saw Blade 5/8in & Diamond Knockout Arbor,B0BXM5HX3V ,link,2,10,2,20,10,$195.80,$19.58,,,complete,20,0,0,10,,7/15/2025,,,30608,,,uk-B0BXM5HX3V ,2,
412_0000026,,5/29/2025,113-4092480-6119439,amazon,no,UK FBA,uk-B0046O5YMA,ENVIRONMENTAL SOLUTIONS INT'L Chomp Pull It Out Concrete Stain Remover 32oz,B0046O5YMA,link,1,1,20,20,20,$341.43,$17.07,,,complete,20,0,0,20,,6/4/2025,,,30011,,,uk-B0046O5YMA,1,
412_0000027,,5/29/2025,113-1162531-1485810,amazon,no,UK FBA,uk-B00NQQTZCO,"Hasbro B0965 - Monopoly Deal Family Card Game - US Version - Fast Dealing Property Trading, for 8+ Years",B00NQQTZCO,link,1,1,20,20,20,$116.60,$5.83,,,complete,20,0,0,20,,6/4/2025,,,30011,,,uk-B00NQQTZCO,1,
412_0000028,,5/29/2025,113-8147822-8125842,amazon,no,UK FBA,uk-B000EPJNMW,"Remington H-1015 Ceramic Compact, Large And Medium Roller",B000EPJNMW,link,1,1,15,15,15,$259.95,$17.33,,,complete,15,0,0,15,,6/4/2025,,,30124,,,uk-B000EPJNMW,1,
412_0000029,,5/29/2025,113-8037343-9284253,amazon,no,UK FBA,uk-B0084HKW9A,Pack of 54 Assorted Holy Cards with Catholic Saints and Prayers,B0084HKW9A,link,1,3,15,45,45,$140.25,$3.12,,,complete,45,0,0,45,,6/5/2025,,,30458,,,uk-B0084HKW9A,1,
412_0000030,,5/29/2025,113-9887855-5585805,amazon,no,UK FBA,uk-B002XULPSQ,Radians CEP001-R Custom Molded Earplugs (Red),B002XULPSQ,link,1,1,20,20,20,$198.80,$9.94,,,complete,20,0,0,20,,6/24/2025,,,30804,,,uk-B002XULPSQ,1,
412_0000031,,6/2/2025,113-3991706-4298638,amazon,no,UK FBA,uk-B0052NL4FK,Liquid Copper Fungicide Pint 16oz,B0052NL4FK,link,1,1,75,75,75,$963.75,$12.85,iade edildi,,complete,73,2,0,73,,6/17/2025,,,30200,,,uk-B0052NL4FK,1,
412_0000032,,6/2/2025,113-2481620-0565807,amazon,no,UK FBA,uk-B07BRDVK2L,"AmLactin Rapid Relief Restoring Lotion + Ceramides, 7.9 Ounce, Paraben Free",B07BRDVK2L,link,1,1,20,20,20,$262.64,$13.13,,,complete,20,0,0,20,,6/4/2025,,,30601,,,uk-B07BRDVK2L,1,
412_0000033,,6/2/2025,113-0883037-7585056,amazon,no,UK FBA,uk-B07BRDVQ4B,"AmLactin Daily Moisturizing Body Lotion, 14.1 Ounce Bottle with Pump, Paraben Free",B07BRDVQ4B,link,1,1,30,30,30,$455.14,$15.17,güncel orderdan giderildi,,partial,22,2,6,22,,6/4/2025,,,30458,,,uk-B07BRDVQ4B,1,
412_0000034,,6/2/2025,113-9784873-8819419,amazon,no,UK FBA,uk-B00DEX61A8,Nivea For Men Maximum Hydration Nourishing Lotion for Dry Skin 16.9 Ounce,B00DEX61A8,link,1,1,40,40,40,$276.64,$6.92,,,complete,40,0,0,40,,6/4/2025,,,30670,,,uk-B00DEX61A8,1,
412_0000035,,6/2/2025,113-9477218-1683442,amazon,no,UK FBA,uk-B00B2BDUI0,"Dey EpiPen Trainer by 500-00, Current Model",B00B2BDUI0,link,1,50,1,50,50,$249.95,$5.00,,,complete,50,0,0,50,,6/16/2025,,,30011,,,uk-B00B2BDUI0,1,
412_0000036,,6/11/2025,113-5002637-0557857,amazon,no,UK FBA,uk-B00MGK9Z8U,"Rimmel Provocalips Transfer Proof Lipstick, Kiss Fatal",B00MGK9Z8U,link,1,1,30,30,30,$152.74,$5.09,,,complete,30,0,0,30,,6/16/2025,,,30147,,,uk-B00MGK9Z8U,1,
412_0000037,,6/11/2025,113-2561442-9952244,amazon,no,UK FBA,uk-B07W59CNXQ,MAYBELLINE - SuperStay Matte Ink Liquid Lipstick Mover 160-0.17 fl oz (5 ml),B07W59CNXQ,link,1,1,30,30,30,$136.17,$4.54,,,complete,30,0,0,30,,6/16/2025,,,30702,,,uk-B07W59CNXQ,1,
412_0000038,,6/11/2025,113-8896385-2572210,amazon,no,UK FBA,uk-B07PPVYF5N,"LIVFRESH Toothpaste Gel, Clinically Proven to Remove Plaque 250% Better, Improves Gum Health 190% Better, Prevents & Reduces Tartar, Peppermint",B07PPVYF5N,link,1,1,15,15,15,$316.03,$21.07,,,complete,15,0,0,15,,6/16/2025,,,30147,,,uk-B07PPVYF5N,1,
412_0000039,,6/11/2025,113-6465396-5696259,amazon,no,UK FBA,uk-B0787JFFDN,"Prunelax Ciruelax Natural Laxative Regular Liquid for Kids, 4.05 fl oz",B0787JFFDN,link,1,1,35,35,35,$268.05,$7.66,,,complete,35,0,0,35,,6/17/2025,,,30200,,,uk-B0787JFFDN,1,
412_0000040,,6/11/2025,113-2298668-9541836,amazon,no,UK FBA,uk-B0721M83FL,Sun Bum Mineral SPF 50 Face Stick Sunscreen | Water-Resistant Broad Spectrum Sunblock with Vitamin E | Hypoallergenic | Hawaii 104 Act Compliant (Octinoxate & Oxybenzone Free)| Travel Friendly 0.53 oz,B0721M83FL,link,1,1,30,30,30,$286.62,$9.55,,,complete,30,0,0,30,,6/16/2025,,,30601,,,uk-B0721M83FL,1,
